code,name,orgId,title,url,size_kb
000981,山子高科,gssz0000981,2025年年度报告,http://static.cninfo.com.cn/finalpage/2026-04-30/1225266485.PDF,1403
601187,厦门银行,9900012128,厦门银行股份有限公司2025年年度报告,http://static.cninfo.com.cn/finalpage/2026-04-30/1225266446.PDF,2771
000677,恒天海龙,gssz0000677,2025年年度报告,http://static.cninfo.com.cn/finalpage/2026-04-30/1225266384.PDF,2654
002514,宝馨科技,9900016129,2025年年度报告,http://static.cninfo.com.cn/finalpage/2026-04-30/1225266348.PDF,1404
002989,中天精装,9900034522,2025年年度报告,http://static.cninfo.com.cn/finalpage/2026-04-30/1225266311.PDF,1650
300352,北信源,9900022471,2025年年度报告,http://static.cninfo.com.cn/finalpage/2026-04-30/1225266274.PDF,1556
300167,ST迪威迅,9900016311,2025年年度报告,http://static.cninfo.com.cn/finalpage/2026-04-30/1225266244.PDF,1140
603580,*ST艾艾,gfbj0430599,艾艾精密工业输送系统（上海）股份有限公司2025年度报告,http://static.cninfo.com.cn/finalpage/2026-04-30/1225266207.PDF,3065
605122,四方新材,9900039751,重庆四方新材股份有限公司2025年年度报告,http://static.cninfo.com.cn/finalpage/2026-04-30/1225266162.PDF,1231
600381,*ST春天,gssh0600381,青海春天2025年年度报告全文,http://static.cninfo.com.cn/finalpage/2026-04-30/1225266135.PDF,1306
600965,福成股份,gssh0600965,福成股份：2025年年度报告,http://static.cninfo.com.cn/finalpage/2026-04-30/1225266102.PDF,1427
002883,中设股份,9900031776,2025年年度报告,http://static.cninfo.com.cn/finalpage/2026-04-30/1225266060.PDF,1415
603189,网达软件,9900026063,网达软件2025年年度报告,http://static.cninfo.com.cn/finalpage/2026-04-30/1225266031.PDF,1256
688032,禾迈股份,9900046513,杭州禾迈电力电子股份有限公司2025年年度报告,http://static.cninfo.com.cn/finalpage/2026-04-30/1225266006.PDF,1918
688066,航天宏图,fzqy1026111,2025年年度报告,http://static.cninfo.com.cn/finalpage/2026-04-30/1225265967.PDF,1824
002198,嘉应制药,9900003905,2025年年度报告,http://static.cninfo.com.cn/finalpage/2026-04-30/1225265922.PDF,1279
688289,圣湘生物,nssc1000305,圣湘生物科技股份有限公司2025年年度报告全文,http://static.cninfo.com.cn/finalpage/2026-04-30/1225265866.PDF,1675
603818,曲美家居,9900023523,2025年年度报告,http://static.cninfo.com.cn/finalpage/2026-04-30/1225265797.PDF,1460
002109,兴化股份,9900002009,2025年年度报告,http://static.cninfo.com.cn/finalpage/2026-04-30/1225265689.PDF,4728
600897,厦门空港,gssh0600897,厦门空港2025年年度报告,http://static.cninfo.com.cn/finalpage/2026-04-30/1225265648.PDF,1201
600682,南京新百,gssh0600682,南京新百2025年年度报告,http://static.cninfo.com.cn/finalpage/2026-04-30/1225265623.PDF,1888
688333,铂力特,9900039046,西安铂力特增材技术股份有限公司2025年年度报告,http://static.cninfo.com.cn/finalpage/2026-04-30/1225265594.PDF,1525
600482,中国动力,gssh0600482,中国动力2025年年度报告,http://static.cninfo.com.cn/finalpage/2026-04-30/1225265585.PDF,3629
600892,*ST大晟,gssh0600892,2025年年度报告,http://static.cninfo.com.cn/finalpage/2026-04-30/1225265529.PDF,1315
600117,西宁特钢,gssh0600117,西宁特殊钢股份有限公司2025年度报告,http://static.cninfo.com.cn/finalpage/2026-04-30/1225265486.PDF,1573
688484,南芯科技,9900056052,2025年年度报告,http://static.cninfo.com.cn/finalpage/2026-04-30/1225265339.PDF,1691
688159,有方科技,gfbj0835770,有方科技：2025年年度报告,http://static.cninfo.com.cn/finalpage/2026-04-30/1225265320.PDF,1457
603636,南威软件,9900023642,南威软件：2025年年度报告,http://static.cninfo.com.cn/finalpage/2026-04-30/1225265236.PDF,1739
603628,清源股份,9900023615,2025年年度报告,http://static.cninfo.com.cn/finalpage/2026-04-30/1225265232.PDF,2184
603195,公牛集团,9900037723,公牛集团股份有限公司2025年年度报告,http://static.cninfo.com.cn/finalpage/2026-04-30/1225265197.PDF,1495
605287,德才股份,9900041678,德才股份2025年年度报告,http://static.cninfo.com.cn/finalpage/2026-04-30/1225265144.PDF,3444
688409,富创精密,9900048393,2025年年度报告,http://static.cninfo.com.cn/finalpage/2026-04-30/1225265029.PDF,1761
688150,莱特光电,gfbj0835249,陕西莱特光电材料股份有限公司2025年年度报告,http://static.cninfo.com.cn/finalpage/2026-04-30/1225264996.PDF,1668
603801,志邦家居,9900032419,2025年年度报告,http://static.cninfo.com.cn/finalpage/2026-04-30/1225264902.PDF,3774
600158,中体产业,gssh0600158,中体产业集团股份有限公司2025年年度报告,http://static.cninfo.com.cn/finalpage/2026-04-30/1225264879.PDF,1286
301152,天力锂能,gfbj0833757,2025年年度报告,http://static.cninfo.com.cn/finalpage/2026-04-30/1225264812.PDF,1382
600076,康欣新材,gssh0600076,2025年年度报告,http://static.cninfo.com.cn/finalpage/2026-04-30/1225264739.PDF,1318
600107,ST尔雅,gssh0600107,2025年年度报告,http://static.cninfo.com.cn/finalpage/2026-04-30/1225264726.PDF,1424
688793,倍轻松,gfbj0837027,2025年年度报告,http://static.cninfo.com.cn/finalpage/2026-04-30/1225264650.PDF,1763
600643,爱建集团,gssh0600643,爱建集团2025年年度报告,http://static.cninfo.com.cn/finalpage/2026-04-30/1225264623.PDF,1455
688711,宏微科技,gfbj0831872,江苏宏微科技股份有限公司2025年年度报告,http://static.cninfo.com.cn/finalpage/2026-04-30/1225264491.PDF,1812
600246,万通发展,gssh0600246,2025年年度报告,http://static.cninfo.com.cn/finalpage/2026-04-30/1225264480.PDF,1451
600328,中盐化工,gssh0600328,中盐化工2025年年度报告,http://static.cninfo.com.cn/finalpage/2026-04-30/1225264448.PDF,1897
600009,上海机场,gssh0600009,上海机场2025年年度报告,http://static.cninfo.com.cn/finalpage/2026-04-30/1225264362.PDF,1485
603290,斯达半导,9900023794,斯达半导体股份有限公司2025年年度报告,http://static.cninfo.com.cn/finalpage/2026-04-30/1225264305.PDF,1298
600696,*ST岩石,gssh0600696,2025年度报告,http://static.cninfo.com.cn/finalpage/2026-04-30/1225264273.PDF,1300
603717,天域生物,9900030817,2025年年度报告,http://static.cninfo.com.cn/finalpage/2026-04-30/1225264243.PDF,1409
603880,南卫股份,9900031500,南卫股份2025年年度报告,http://static.cninfo.com.cn/finalpage/2026-04-30/1225264225.PDF,1234
688458,美芯晟,9900055791,2025年年度报告,http://static.cninfo.com.cn/finalpage/2026-04-30/1225264171.PDF,2101
600847,万里股份,gssh0600847,万里股份2025年年度报告,http://static.cninfo.com.cn/finalpage/2026-04-30/1225264036.PDF,1065
688339,亿华通,gfbj0834613,亿华通2025年年度报告,http://static.cninfo.com.cn/finalpage/2026-04-30/1225263987.PDF,1473
